State,Market,Commodity,Date,Min_Price,Max_Price,Modal_Price,City,Retail_Price,Distance_km,Transport_rate_per_km,Transport_cost_per_kg,Price_Spread,Profit_per_kg,Profit_per_ton,Profit_per_truck,Opportunity_Score
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,407,28,11.396,31.0,19.604,19604.0,98020.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,509,19,9.671,31.0,21.329,21329.0,106645.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,23,32,0.736,31.0,30.264,30264.0,151320.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,55,35,1.925,31.0,29.075,29075.0,145375.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,128,23,2.944,31.0,28.056,28056.0,140280.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,91,25,2.275,31.0,28.725,28725.0,143625.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,1063,30,31.89,31.0,-0.8900000000000006,-890.0000000000006,-4450.000000000003,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,1250,34,42.5,31.0,-11.5,-11500.0,-57500.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,1491,27,40.257,31.0,-9.256999999999998,-9256.999999999998,-46284.99999999999,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,637,37,23.569,31.0,7.431000000000001,7431.000000000001,37155.00000000001,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,1289,39,50.271,31.0,-19.271,-19271.0,-96355.0,100.0
Delhi,Lasalgaon,Chilli,2024-01-09,25,45,35.0,Bangalore,66,349,36,12.564,31.0,18.436,18436.0,92180.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,407,28,11.396,-6.0,-17.396,-17396.0,-86980.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,509,19,9.671,-6.0,-15.671,-15671.0,-78355.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,23,32,0.736,-6.0,-6.736,-6736.0,-33680.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,55,35,1.925,-6.0,-7.925,-7925.0,-39625.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,128,23,2.944,-6.0,-8.943999999999999,-8943.999999999998,-44719.99999999999,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,91,25,2.275,-6.0,-8.275,-8275.0,-41375.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,1063,30,31.89,-6.0,-37.89,-37890.0,-189450.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,1250,34,42.5,-6.0,-48.5,-48500.0,-242500.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,1491,27,40.257,-6.0,-46.257,-46257.0,-231285.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,637,37,23.569,-6.0,-29.569,-29569.0,-147845.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,1289,39,50.271,-6.0,-56.271,-56271.0,-281355.0,100.0
Maharashtra,Lasalgaon,Brinjal,2024-01-25,17,51,34.0,Bangalore,28,349,36,12.564,-6.0,-18.564,-18564.0,-92820.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,407,28,11.396,53.0,41.604,41604.0,208020.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,509,19,9.671,53.0,43.329,43329.0,216645.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,23,32,0.736,53.0,52.264,52264.0,261320.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,55,35,1.925,53.0,51.075,51075.0,255375.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,128,23,2.944,53.0,50.056,50056.0,250280.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,91,25,2.275,53.0,50.725,50725.0,253625.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,1063,30,31.89,53.0,21.11,21110.0,105550.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,1250,34,42.5,53.0,10.5,10500.0,52500.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,1491,27,40.257,53.0,12.743000000000002,12743.000000000002,63715.00000000001,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,637,37,23.569,53.0,29.431,29431.0,147155.0,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,1289,39,50.271,53.0,2.728999999999999,2728.999999999999,13644.999999999996,100.0
Gujarat,Lasalgaon,Potato,2024-01-27,22,66,44.0,Bangalore,97,349,36,12.564,53.0,40.436,40436.0,202180.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,407,28,11.396,56.5,45.104,45104.0,225520.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,509,19,9.671,56.5,46.829,46829.0,234145.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,23,32,0.736,56.5,55.764,55764.0,278820.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,55,35,1.925,56.5,54.575,54575.0,272875.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,128,23,2.944,56.5,53.556,53556.0,267780.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,91,25,2.275,56.5,54.225,54225.0,271125.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,1063,30,31.89,56.5,24.61,24610.0,123050.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,1250,34,42.5,56.5,14.0,14000.0,70000.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,1491,27,40.257,56.5,16.243000000000002,16243.000000000002,81215.00000000001,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,637,37,23.569,56.5,32.931,32931.0,164655.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,1289,39,50.271,56.5,6.228999999999999,6228.999999999999,31144.999999999996,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,99,349,36,12.564,56.5,43.936,43936.0,219680.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,407,28,11.396,-22.5,-33.896,-33896.0,-169480.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,509,19,9.671,-22.5,-32.171,-32171.0,-160855.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,23,32,0.736,-22.5,-23.236,-23236.0,-116180.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,55,35,1.925,-22.5,-24.425,-24425.0,-122125.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,128,23,2.944,-22.5,-25.444,-25444.0,-127220.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,91,25,2.275,-22.5,-24.775,-24775.0,-123875.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,1063,30,31.89,-22.5,-54.39,-54390.0,-271950.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,1250,34,42.5,-22.5,-65.0,-65000.0,-325000.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,1491,27,40.257,-22.5,-62.757,-62757.0,-313785.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,637,37,23.569,-22.5,-46.069,-46069.0,-230345.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,1289,39,50.271,-22.5,-72.771,-72771.0,-363855.0,100.0
UP,Lasalgaon,Chilli,2024-01-17,15,70,42.5,Bangalore,20,349,36,12.564,-22.5,-35.064,-35064.0,-175320.0,100.0
Gujarat,Lasalgaon,Garlic,2024-03-10,18,36,27.0,Bangalore,93,407,28,11.396,66.0,54.604,54604.0,273020.0,100.0
Gujarat,Lasalgaon,Garlic,2024-03-10,18,36,27.0,Bangalore,93,509,19,9.671,66.0,56.329,56329.0,281645.0,100.0
Gujarat,Lasalgaon,Garlic,2024-03-10,18,36,27.0,Bangalore,93,23,32,0.736,66.0,65.264,65263.99999999999,326320.0,100.0
